word|translate|synonym
hinder|v.阻碍|impede, prevent, deter, obstacle
legitimate|adj.合法的|legal
limitation|n.限制|restriction
convention|n.手法;习俗|method; tradition
demanding|ad.苛求的|troublesome
determine|v.决定|decide
accelerate|v.加速,促进;强调|speed up
ancient|ad.古代的;古老的|aged, old
beneficial|adj.有益的|helpful, advantageous, wholesome
chronic|adj.慢性的,长期 性的|lasting
conscious|ad.有意识的,神 志清醒的|aware, knowing
minimize|v.最小化,.... 减少到最少|reduce, lessen
immunity|n.免疫力|resistance
imperative|adj.必要的,紧急 的|compelling, necessary, urgent
secrete|v.分泌|discharge, exude
exaggerate|v.夸大,夸张|overstate
transmit|v.传达,传输|pass, send ,transfer
extinct|v.灭绝|die out, lost

practice|n.实行;练习|method, exercise
bacteria|n.细菌|virus, germ, microbe
be subject to|受...支配|face
be liable to|易于...|potential
innate|adj.天生的;内在 的,直觉的|built-in, inborn
pattern|n.模式|formation
therapy|n.治疗,理疗|treatment
original|adj.原始的,最初的|initial, first
confidential|adj. 机密的,秘密的|undisclosed, secret, hidden
cognitive|adj.认知的|mental
comply with|照做,遵守|obey
consult|v.查阅,商量,请教, 咨询|ask for advice
superior|adj.. 上级的;优秀 的|higher, upper
co-operation|n.合作,协作|support, work together
co-ordinate|wx.使..协谓|organize, harmonize
differ|v.使...相异; 使...不同|vary
cue|n.线索|hint, clue
signal|n.信号|symbol, mark, sign
abandon|v.放弃,遗弃|quit, give up, forsake, derelict
halt|n.停止|stop, quit
fragile|adj.脆弱的|vulnerable
retain|v.记住|maintain
vanish|n.消失,绝迹|disappear
delivery|n.递送|send
erode|v.侵蚀|rust, damage
induce|v.引起,引诱|cause, lead to
stable|adj.稳定的|constant, unchanged
integrate|v.使...成整体|combine, whole
equal|adj.平等的;相等 的;胜任的|fair, even
grant|v.拨款,授予|offer

exclusive|ad.独有的;排外 的;专一的|only
guarantee|v.保证,担保|assure
inherit|v.继承|receive
witness|n.见证,证据;目 击者|view, see
magnetic|adj.有磁性的|attractive
[ loss|n.减少;亏损;失 败;遗失的|waste, gone
option|n.选择|choice
prefer to|更喜欢|rather
priority|n.优先权|preference, preferential
primary|adj.主要的|principle, main
principle|n.原理|rule
potential|n.潜能 adj. 潜在的|possibility
quantity|n.量,数量|number
[ settle|v.解决;定居,稳定|fix, figure out
sophisticate|v.使复杂|complicate
specific|adj.明确的;特殊的|detailed, particular
survive|v.存活,幸存|remain
swift|adj.迅速的,敏捷 的,立刻的|quick, rapid
unexpectedly|adv.出乎意料的|surprising
surrounding|n.环境|setting, environment
attempt|n.试图,尝试|try, test
expertise|n.专门技术|knowledge, skill
faculty|n.能力,才能;全 体教员|ability
donate|v.捐赠|contribute
dynamics|n.动力学|energy, force, move
incentive|n.刺激,鼓励;动机|motive, stimulus
mortality|n.死亡率|death
peripheral|ad.外围的,次要 的|unimportant, minor
vicinity|n.邻近,附近|neighbourhood, nearby
threaten|v.威胁,危及|endanger, jeopardize, risk, hazard

commitment|n.承诺,许诺,义 务;致力|engagement
communal|adj.公共的,公社的|public
commute|v.通勤用.换|travel
compare|....相比较|contrast
conceal|v.隐藏;隐瞒|hide
concentrate|v.专心于;集中|focus
concur|v.同意|agree
confer|v.授予,给予|grant
conflict|n.冲突,矛盾|unharmonious
confuse|v使混乱,使迷惑|puzzle
conservative|adj.保守的|traditional
considerable|adj.相当大的,重要 的|significant
contingent|adj.因情况而异的|uncertain
controversial|adj.有争论的|disputable
correlation|n.相关,关联|link
courtship|n.求爱(时期)|mate
crash|n.碰撞|collapse
credibility|n.可信性|reliance
criminal|n.罪犯,犯人|conviction
crisis|n.危机|risk
criticism|n.评论|condemn
curb|v.限制,抑制|restrict
damp|adj潮湿的|wet
dazzle|v.使目眩;使... 眼花|flash
deadline|n.最后期限|limit
delay|n.延期,耽搁|postpone
democratic|adj.民主的|republic
demographic|adj.人口统计学的; 人口学|population statistic
dental|adj.牙科的,牙齿的|teeth
depression|n.抑郁,沮丧|frustration
designate|n指定;指派,标出|appoint
detain|v.留住|hold
